"id_commune","id_service","competence","id_service_gn"
"54375","63516","1","3003291"
"54376","3003298","0","3003298"
"54377","3003336","0","3003336"
"54378","3028352","0","3028352"
"54379","3003341","0","3003341"
"54380","3003339","0","3003339"
"54381","3003330","0","3003330"
"54382","63541","1","3028352"
"54383","3003332","0","3003332"
"54385","3028352","0","3028352"
"54386","3003335","0","3003335"
"54387","3003291","0","3003291"
"54388","3003328","0","3003328"
"54389","3003310","0","3003310"
"54390","3003291","0","3003291"
"54391","63466","1","3003310"
"54392","3003339","0","3003339"
"54393","3003335","0","3003335"
"54394","3003324","0","3003324"
"54395","63445","1","3003292"
"54396","3003330","0","3003330"
"54397","3003297","0","3003297"
"54398","3003330","0","3003330"
"54399","3003331","0","3003331"
"54400","3003298","0","3003298"
"54401","3003330","0","3003330"
"54402","3003314","0","3003314"
"54403","3003299","0","3003299"
"54404","3003343","0","3003343"
"54405","3003339","0","3003339"
"54406","3003333","0","3003333"
"54407","3003303","0","3003303"
"54408","3003310","0","3003310"
"54409","3003303","0","3003303"
"54410","3003313","0","3003313"
"54411","3003295","0","3003295"
"54412","3003323","0","3003323"
"54413","3003310","0","3003310"
"54414","3003339","0","3003339"
"54415","3003299","0","3003299"
"54416","3003344","0","3003344"
"54417","3003303","0","3003303"
"54418","3003328","0","3003328"
"54419","3003334","0","3003334"
"54420","3003323","0","3003323"
"54421","3003334","0","3003334"
"54422","3003336","0","3003336"
"54423","3003330","0","3003330"
"54424","3003298","0","3003298"
"54425","3003314","0","3003314"
"54426","3003339","0","3003339"
"54427","3003330","0","3003330"
"54428","3003323","0","3003323"
"54429","3003297","0","3003297"
"54430","3003294","0","3003294"
"54431","63516","1","3003291"
"54432","3003297","0","3003297"
"54433","3003291","0","3003291"
"54434","3003303","0","3003303"
"54435","3003299","0","3003299"
"54436","3003324","0","3003324"
"54437","3003297","0","3003297"
"54438","3003341","0","3003341"
"54439","63445","1","3003292"
"54440","3003310","0","3003310"
"54441","3003313","0","3003313"
"54442","3003303","0","3003303"
"54443","3003330","0","3003330"
"54444","3003298","0","3003298"
"54445","3003328","0","3003328"
"54446","3003328","0","3003328"
"54447","3003333","0","3003333"
"54449","3003332","0","3003332"
"54450","3003336","0","3003336"
"54451","63541","1","3028352"
"54452","3003333","0","3003333"
"54453","3003344","0","3003344"
"54455","3003335","0","3003335"
"54456","3003290","0","3003290"
"54457","3003333","0","3003333"
"54458","3003333","0","3003333"
"54459","3003297","0","3003297"
"54460","3003343","0","3003343"
"54461","3003332","0","3003332"
"54462","3003292","0","3003292"
"54463","3003343","0","3003343"
"54464","3003298","0","3003298"
"54465","3003331","0","3003331"
"54466","3003343","0","3003343"
"54467","3003331","0","3003331"
"54468","3003292","0","3003292"
"54469","63481","1","3003310"
"54470","3003344","0","3003344"
"54471","3003331","0","3003331"
"54472","3003328","0","3003328"
"54473","3003295","0","3003295"
"54474","3003291","0","3003291"
"54475","3003331","0","3003331"
"54476","3003323","0","3003323"
