"commune_code_insee","unite_cu"
"03154","3082"
"03155","3057"
"03156","3055"
"03157","3087"
"03158","3070"
"03159","3067"
"03160","3060"
"03161","3072"
"03162","3061"
"03163","3079"
"03164","3083"
"03165","3086"
"03166","3083"
"03167","3072"
"03168","3066"
"03169","3058"
"03170","3061"
"03171","3059"
"03172","3071"
"03173","3056"
"03174","3086"
"03175","3054"
"03176","3060"
"03177","3056"
"03178","3082"
"03179","3088"
"03180","3059"
"03181","3082"
"03182","3083"
"03183","3058"
"03184","3052"
"03185","10300885"
"03186","3073"
"03187","3088"
"03188","3060"
"03189","3073"
"03190","10300913"
"03191","3073"
"03192","3069"
"03193","3070"
"03194","3069"
"03195","3065"
"03196","3082"
"03197","3059"
"03198","3057"
"03200","3052"
"03201","3086"
"03202","3061"
"03203","3055"
"03204","3060"
"03205","3085"
"03206","3072"
"03207","3056"
"03208","3082"
"03209","3083"
"03210","3057"
"03211","10300885"
"03212","3065"
"03213","3070"
"03214","3058"
"03215","3088"
"03216","3072"
"03217","3065"
"03218","3053"
"03219","3073"
"03220","3083"
"03221","3066"
"03222","3070"
"03223","3085"
"03224","3086"
"03225","3071"
"03226","3082"
"03227","3060"
"03228","3071"
"03229","3052"
"03230","3085"
"03231","3072"
"03232","3087"
"03233","3072"
"03234","3059"
"03235","3088"
"03236","3087"
"03237","3054"
"03238","3053"
"03239","3082"
"03240","3084"
"03241","3057"
"03242","3088"
"03243","3073"
"03244","3072"
"03245","3055"
"03246","3071"
"03247","3061"
"03248","3086"
"03249","3071"
"03250","3085"
"03251","3053"
"03252","3083"
"03253","3056"
"03254","3060"
"03255","3083"
"03256","3073"
"03257","3085"
"03258","3079"
"03259","3071"
"03260","3058"
"03261","3072"
"03262","10300885"
"03263","3059"
"03264","3079"
"03265","3056"
"03266","3088"
"03267","3060"
"03268","3083"
"03269","3070"
"03270","3073"
"03271","3079"
"03272","3085"
"03273","3087"
"03274","3084"
"03275","3061"
"03276","3069"
"03277","3054"
"03278","3054"
"03279","3065"
"03280","3072"
"03281","3058"
"03282","3066"
"03283","3055"
"03284","3084"
"03285","3070"
"03286","3052"
"03287","3058"
"03288","3071"
"03289","3084"
"03290","3052"
"03291","3084"
"03292","3058"
"03293","3066"
"03294","3054"
"03295","3069"
"03296","3066"
"03297","3070"
"03298","3088"
"03299","3084"
"03300","3056"
"03301","3065"
"03302","3069"
"03303","3070"
"03304","3079"
"03305","3065"
"03306","3079"
"03307","3060"
"03308","3073"
"03309","3057"
"03310","10300887"
"03311","3069"
"03312","3053"
"03313","3066"
"03314","3072"
"03315","3073"
"03316","3052"
"03317","3071"
"03319","3054"
"03320","3053"
"03321","10300913"
"04001","4364"
"04004","4387"
"04005","4388"
"04006","4384"
"04007","4388"
"04008","4383"
"04009","4367"
"04012","4393"
"04013","4394"
"04016","4399"
"04017","4379"
"04018","4392"
"04019","4374"
"04020","4379"
"04021","4364"
"04022","4365"
"04023","4400"
"04024","4367"
"04025","4384"
"04026","4400"
"04027","4398"
"04028","4369"
"04030","4365"
"04031","4369"
"04032","4383"
"04033","4377"
"04034","4370"
"04035","4371"
"04036","4367"
"04037","4396"
"04039","4382"
"04040","4364"
"04041","4370"
"04042","4385"
"04043","4385"
"04045","4393"
"04046","4364"
"04047","4364"
"04049","4394"
"04050","4396"
"04051","4398"
"04053","4394"
"04054","4369"
"04055","4365"
"04057","4396"
"04058","4396"
"04059","4365"
"04061","4384"
"04062","4374"
"04063","4395"
"04065","4397"
"04066","4396"
"04067","4398"
"04068","4391"
"04069","4382"
"04070","10400851"
"04072","4367"
"04073","4374"
"04074","4364"
"04075","4399"
"04076","4385"
"04077","4370"
"04079","4394"
"04081","4387"
"04084","4369"
"04085","4400"
"04086","4374"
"04087","4397"
"04088","4391"
"04090","4383"
"04091","4368"
"04092","4382"
"04093","4400"
"04094","4366"
"04095","4392"
"04096","4374"
"04097","4367"
"04099","4388"
"04101","4397"
"04102","4377"
"04104","4391"
"04106","4370"
"04107","4369"
"04108","4368"
"04109","4397"
"04110","4364"
"04111","4391"
"04112","10400850"
"04113","4367"
"04115","4383"
"04116","4368"
"04118","4396"
"04120","4374"
"04121","4369"
"04122","4364"
"04123","4399"
"04124","4387"
"04126","4379"
"04127","4394"
"04128","4395"
"04129","4393"
"04130","4397"
"04132","4392"
"04133","4388"
"04134","4396"
"04135","4386"
"04136","4388"
"04137","4396"
"04138","4391"
"04139","4398"
"04140","4398"
"04141","4397"
"04142","4393"
"04143","4370"
"04144","4386"
"04145","4394"
"04148","4382"
"04149","4368"
"04150","4400"
"04151","4391"
"04152","4395"
"04154","4377"
"04155","4367"
"04156","4370"
"04157","4387"
"04158","4387"
"04159","4392"
"04160","4393"
"04161","4377"
"04162","4392"
"04163","4392"
"04164","4397"
"04166","4387"
"04167","4364"
"04169","4392"
"04170","4385"
"04171","4382"
"04172","4387"
"04173","4388"
"04174","4383"
"04175","4393"
"04176","4387"
"04177","4364"
"04178","4397"
"04179","4399"
"04180","4365"
"04181","4369"
"04182","4369"
"04183","4382"
"04184","4386"
"04186","4387"
"04187","4365"
"04188","4391"
"04189","4366"
"04190","4395"
"04191","4379"
"04192","4391"
"04193","4374"
"04194","4385"
"04195","4374"
"04197","4395"
"04199","4398"
"04200","4394"
"04201","4392"
"04202","4385"
"04203","4379"
"04204","4365"
"04205","4379"
"04206","4391"
"04207","4396"
"04208","4392"
"04209","4399"
"04210","4382"
"04211","4394"
"04214","4365"
"04216","4396"
"04217","4364"
"04218","4384"
"04219","4384"
"04220","4374"
"04222","4400"
"04224","4383"
"04226","4374"
"04227","4393"
"04228","4396"
"04229","4398"
"04230","4371"
"04231","4396"
"04233","4396"
"04234","4400"
"04235","4379"
"04236","4383"
"04237","4379"
"04240","4384"
"04241","4393"
"04242","4370"
"04244","4394"
"04245","4395"
"05001","4438"
"05003","4438"
"05004","4411"
"05006","4427"
"05007","4438"
"05008","4410"
"05009","4419"
"05010","4410"
"05011","4412"
"05012","4436"
"05013","4420"
"05014","4413"
"05016","4421"
"05017","4412"
"05018","4412"
"05019","4410"
"05021","4421"
"05022","4440"
"05023","10500535"
"05024","4421"
"05025","4417"
"05026","4441"
"05027","4426"
"05028","4422"
"05029","4411"
"05031","4427"
"05032","4411"
"05033","4421"
"05035","4422"
"05036","4436"
"05037","4420"
"05038","4438"
"05039","4419"
"05040","4439"
"05044","4436"
"05045","4436"
"05046","4436"
"05047","4413"
"05048","4421"
"05049","4420"
"05050","4440"
"05051","4413"
"05052","4441"
"05053","4413"
"05054","4417"
"05055","4410"
"05056","4417"
"05057","4420"
"05058","4427"
"05059","4420"
"05060","4422"
"05061","10500536"
"05062","4419"
"05063","4428"
"05064","4419"
"05065","4441"
"05066","4410"
"05068","4420"
"05070","4413"
"05071","4420"
"05072","4417"
"05073","4413"
"05074","4420"
"05075","4422"
"05076","4421"
"05077","4438"
"05078","4413"
"05079","4432"
"05080","4410"
"05081","4421"
"05082","4441"
"05084","4412"
"05085","4426"
"05086","4421"
"05087","4422"
"05089","4421"
"05090","4417"
"05091","4421"
"05092","4420"
"05093","4426"
"05094","4413"
"05095","4417"
"05096","4411"
"05097","4413"
"05098","4436"
"05099","4422"
"05100","4420"
"05101","4427"
"05102","4421"
"05103","4413"
"05104","4417"
"05106","4439"
"05107","4426"
"05108","4442"
"05109","4426"
"05110","4427"
"05111","4442"
"05112","4422"
"05113","4412"
"05114","4442"
"05115","4440"
"05116","4441"
"05117","4421"
"05118","4413"
"05119","4441"
"05121","4440"
"05122","4427"
"05123","4422"
"05124","4412"
"05126","4421"
"05127","4440"
"05128","4436"
"05129","4421"
"05130","4442"
"05131","4422"
"05132","4417"
"05133","4432"
"05134","4441"
"05135","4413"
"05136","4441"
"05139","4418"
