id;version;niveau;libelle;validite
01145;20230913;1;lfang;O
01146;20230913;1;lintex;O
01168;20230913;1;lingben;O
01222;20230913;1;longjia;O
01267;20230913;1;lazio;O
00606;20230913;1;mac cormick;O
00607;20230913;1;mack;O
00608;20230913;1;macomeudon;O
00609;20230913;1;mafa;O
00610;20230913;1;mafi;O
00611;20230913;1;magirus;O
00612;20230913;1;magnat debon;O
00613;20230913;1;magyar;O
00614;20230913;1;mahindra;O
00615;20230913;1;maico;O
00616;20230913;1;maisonneuve;O
00617;20230913;1;makoautomobile;O
00618;20230913;1;malaguti;O
00619;20230913;1;malagutti;O
00620;20230913;1;man;O
00621;20230913;1;mandel;O
00622;20230913;1;mandrinois;O
00623;20230913;1;manitou;O
00624;20230913;1;mann;O
00625;20230913;1;mannesmann;O
00626;20230913;1;marden;O
00627;20230913;1;marechal;O
00628;20230913;1;marin;O
00629;20230913;1;mariner;O
00630;20230913;1;mars;O
00631;20230913;1;martin;O
00632;20230913;1;maruti;O
00633;20230913;1;mase;O
00634;20230913;1;maserati;O
00635;20230913;1;massey ferguson;O
00636;20230913;1;massey harris;O
00637;20230913;1;matchless;O
00638;20230913;1;mathieu;O
00639;20230913;1;matra;O
00640;20230913;1;maus;O
00641;20230913;1;maw;O
00642;20230913;1;maximum;O
00643;20230913;1;mayer;O
00644;20230913;1;mayr;O
00645;20230913;1;mazda;O
00646;20230913;1;mba;O
00647;20230913;1;mbk;O
00648;20230913;1;mbn;O
00649;20230913;1;mc;O
00650;20230913;1;mcc;O
00651;20230913;1;mecanorem;O
00652;20230913;1;mega;O
00653;20230913;1;meister;O
00654;20230913;1;melkus;O
00655;20230913;1;meral;O
00656;20230913;1;mercedes;O
00657;20230913;1;mercedes benz;O
00658;20230913;1;mercier;O
00659;20230913;1;merckx;O
00660;20230913;1;mercury;O
00661;20230913;1;merlo;O
00662;20230913;1;messager;O
00663;20230913;1;messerschmitt;O
00664;20230913;1;metaco;O
00665;20230913;1;mf trike;O
00666;20230913;1;mg;O
00667;20230913;1;mgi;O
00668;20230913;1;microcar;O
00669;20230913;1;miele;O
